cuda
  6%|██████▉                                                                                                                | 29/500 [00:10<02:57,  2.65it/s]
Episode 394: Total Reward = -1171.7091618963227
Episode 395: Total Reward = -1175.80217199928
Episode 396: Total Reward = -1171.653985579544
Episode 397: Total Reward = -1181.9299683460429
Episode 398: Total Reward = -1170.4641394191785
Episode 399: Total Reward = -1170.3267384100266
Episode 400: Total Reward = -1166.6044602709444
Saved checkpoint at episode 400 to result-a2c_pendulum_sweep/exp_20250514-133607/checkpoint_ep400.pt
Episode 401: Total Reward = -1118.2867784338969
Episode 402: Total Reward = -1161.328037252909
Episode 403: Total Reward = -1145.9621966188918
Episode 404: Total Reward = -1164.0307200695547
Episode 405: Total Reward = -1166.1387522808052
Episode 406: Total Reward = -1135.8355784725852
Episode 407: Total Reward = -1157.5685721897078
Episode 408: Total Reward = -1111.8649570479993
Episode 409: Total Reward = -1165.8289455392112
Episode 410: Total Reward = -1140.3870757176776
Episode 411: Total Reward = -1158.9112526282147
Episode 412: Total Reward = -1152.8183960372928
Episode 413: Total Reward = -1170.032126046064
Episode 414: Total Reward = -1165.7963651987723
Episode 415: Total Reward = -1178.4862636775465
Episode 416: Total Reward = -1168.9829717226141
Episode 417: Total Reward = -1144.3224768789535
Episode 418: Total Reward = -1188.3633899172144
Episode 419: Total Reward = -1170.270874203357
Episode 420: Total Reward = -1192.0710262427542
Episode 421: Total Reward = -1176.4143591582927
Episode 422: Total Reward = -1191.0709078149775
Episode 423: Total Reward = -1177.096182485889
Episode 424: Total Reward = -1191.8089028215643
Episode 425: Total Reward = -1163.150988852033
Episode 426: Total Reward = -1178.5562830678293
Episode 427: Total Reward = -1167.2511222208898
Episode 428: Total Reward = -1137.771589133859
Episode 429: Total Reward = -1162.901898586447
Episode 430: Total Reward = -1105.150350564802
Episode 431: Total Reward = -1048.452652933624
Episode 432: Total Reward = -1058.362678433887
Episode 433: Total Reward = -1072.0575306639012
Episode 434: Total Reward = -1061.696504147602
Episode 435: Total Reward = -1080.1039547443936
Episode 436: Total Reward = -1072.879586911291
Episode 437: Total Reward = -1098.4357519387063
Episode 438: Total Reward = -1149.3514842487443
Episode 439: Total Reward = -1166.2507056129562
Episode 440: Total Reward = -1137.9332200498036
Episode 441: Total Reward = -1118.6622547489524
Episode 442: Total Reward = -1113.9852252506764
Episode 443: Total Reward = -1128.8124148224451
Episode 444: Total Reward = -1157.9243038301063
Episode 445: Total Reward = -1151.2237584360919
Episode 446: Total Reward = -1166.6586424389113
Episode 447: Total Reward = -1164.6486187289381
Episode 448: Total Reward = -1175.6875235243308
Episode 449: Total Reward = -1151.4588806252953
Episode 450: Total Reward = -1168.9538036088632
Episode 451: Total Reward = -1172.0587154540506
Episode 452: Total Reward = -1182.2932992281249
Episode 453: Total Reward = -1168.5762465451653
Episode 454: Total Reward = -1169.452383971848
Episode 455: Total Reward = -1152.3353945069614
Episode 456: Total Reward = -1172.752618651858
Episode 457: Total Reward = -1172.3721356456876
Episode 458: Total Reward = -1175.4666270615223
Episode 459: Total Reward = -1182.8605576077791
Episode 460: Total Reward = -1160.2055835719996
Episode 461: Total Reward = -1156.6475897258792
Episode 462: Total Reward = -1178.4452539405852
Episode 463: Total Reward = -1160.0423955354622
Episode 464: Total Reward = -1163.887931874439
Episode 465: Total Reward = -1160.1322571304927
Episode 466: Total Reward = -1155.5285523485916
Episode 467: Total Reward = -1152.9720845047896
Episode 468: Total Reward = -1157.0510533693964
Episode 469: Total Reward = -1151.7535936038423
Episode 470: Total Reward = -1167.9434035070276
Episode 471: Total Reward = -1161.0992341428584
Episode 472: Total Reward = -1153.349302722745
Episode 473: Total Reward = -1156.2462013740476
Episode 474: Total Reward = -1152.655505351654
Episode 475: Total Reward = -1115.078579902299
Episode 476: Total Reward = -1157.8132497226256
Episode 477: Total Reward = -1166.487653782376
Episode 478: Total Reward = -1136.092564619356
Episode 479: Total Reward = -1154.984688041557
Episode 480: Total Reward = -1172.2332852584632
Episode 481: Total Reward = -1172.0149535297633
Episode 482: Total Reward = -1158.3432101255612
Episode 483: Total Reward = -1164.2536400477013
Episode 484: Total Reward = -1156.8852101338528
Episode 485: Total Reward = -1160.6976721398175
Episode 486: Total Reward = -1163.7445557099823
Episode 487: Total Reward = -1157.3570772925302
Episode 488: Total Reward = -1155.828890553021
Episode 489: Total Reward = -1159.588491380948
Episode 490: Total Reward = -1135.673462647143
Episode 491: Total Reward = -1149.001830439342
Episode 492: Total Reward = -1179.243791816501
Episode 493: Total Reward = -1170.58555445071
Episode 494: Total Reward = -1172.9127739695944
Episode 495: Total Reward = -1172.7639308732848
Episode 496: Total Reward = -1176.5246257794454
Episode 497: Total Reward = -1169.6235836414144
Episode 498: Total Reward = -1170.6607246792441
Episode 499: Total Reward = -1174.9681379267652
Episode 500: Total Reward = -1160.0849545523774
Saved checkpoint at episode 500 to result-a2c_pendulum_sweep/exp_20250514-133607/checkpoint_ep500.pt
Saved checkpoint at episode 500 to result-a2c_pendulum_sweep/exp_20250514-133607/checkpoint_ep500.pt
